レビュー記録票,,,,システム名 ：,リフォームWebシステム（施工業者連携サイト）,,,,,,,,,,,
,,,,,,,,,,,,,,,,
工程名 ：,,設計,,,,作成日 ：,2018/1/19,,,指摘区分,記述漏れ,記述相違,記述曖昧,記述冗長,標準化違反,その他
業務名 ：,,,,,,作成者 ：,丸山　真忠,,,原因区分,検討不足,確認不足,習熟不足,その他,,
,,,,,,,,,,,,,,,,
レビュー実施日,,,2017/4/21,レビュー時間（HR）,1,,レビュー回数,,1,,,,,,,
レビューイ,,,丸山　真忠,レビューア,佐野　勝哉,,,,,,,,,,,
ドキュメント名,,,振休残状況詳細設計書,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2.0,Controllers/StaffListController.cs,記述相違,page パラメータの上限チェックがないため、page が totalPages を超えるケースや totalPages が 0 になるケースでページ表示・操作が不正になる,コントローラで totalPages を最低 1 に設定し、page を 1..totalPages の範囲にクランプする処理を追加。pageSize=5 に基づく Skip/Take によるページング取得へ修正済み。,GitHub Copilot,2026/06/02,検討不足,佐野,,,,,,,,
2.1,Controllers/StaffListController.cs,記述漏れ,例外発生時に内部例外情報をそのままユーザーへ返している（情報漏洩の懸念）,catch 節を一般的なエラーメッセージへ置き換えました。運用では詳細はログへ記録する方針を推奨します。,GitHub Copilot,2026/06/02,検討不足,佐野,,,,,,,,
2.2,shinnzinn2026.Tests/Controllers/StaffListControllerTests.cs,その他,StaffList の認可・セッション・ページングに関する自動テストが存在しなかったため、回帰検知が困難であった,xUnit と InMemory DB を用いたテストを追加しました。セッション未設定で Login へリダイレクト、管理者でない場合 Login リダイレクト、page=2 のページングと ViewBag の検証を含むテストを作成。,GitHub Copilot,2026/06/02,習熟不足,佐野,,,,,,,,
NO.,項目（ドキュメントの章、頁など）,指摘個所,,処置,,,,確認,,,,,,,,
,,指摘区分, 内容,内容,担当,日付,原因区分,担当,日付,,,,,,,
1,,その他,部門選択について、項目に「全て」は入ってこないのでしょうか？,客先に確認し、部門選択にも「全て」を表示することになりましたので、全ての処理を検討します。,丸山,2018/1/19,その他,佐野,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
