NO.,項目（ドキュメントの章、頁など）,指摘区分,指摘内容,処置内容,処置担当,処置日付,原因区分,確認担当,確認日付
1,"Controllers/StaffListController.cs（全体）","セキュリティ","例外発生時に内部例外メッセージを画面に直接表示している","例外詳細はログに記録し、画面には汎用エラーメッセージを表示するよう修正","開発チーム","2026/06/01","実装","QAチーム",""
2,"StaffList(int page)","機能","pageパラメータの範囲チェックがない（page > totalPages の場合など）","コントローラで page を 1..totalPages の範囲にクランプする実装を追加","開発チーム","2026/06/01","実装","QAチーム",""
3,"StaffList(int page)","パフォーマンス","DBアクセスに同期呼び出しが混在している箇所がある","全て非同期呼び出し（FirstOrDefaultAsync 等）へ統一して負荷を低減","開発チーム","2026/06/01","実装","QAチーム",""
4,"Controllers/StaffEditController.cs（POST）","セキュリティ","CSRF 対策がない（[ValidateAntiForgeryToken] 未指定）","POST アクションに [ValidateAntiForgeryToken] を追加、対応するフォームに @Html.AntiForgeryToken() を追加","開発チーム","2026/06/01","実装","QAチーム",""
5,"認可（全体）","セキュリティ","認可が手動で判断されており一貫性がない（Manager 判定等）","ASP.NET Core の認可属性やポリシーを導入し認可ロジックを中央管理する","セキュリティ担当/開発チーム","2026/06/01","設計","QAチーム",""
6,"Models/StaffModel.cs（Password）","セキュリティ（重大）","パスワードを平文で保存している可能性がある（MaxLength=10 等で脆弱）","パスワードは安全なハッシュ関数（bcrypt/Argon2 等）でハッシュ化して保存し、仕様を見直す","開発チーム/セキュリティ担当","2026/06/01","設計","QAチーム",""
7,"Views/StaffList/StaffList.cshtml（モーダル）","パフォーマンス/UX","行ごとにモーダルを生成しており大量データで負荷が高い","モーダルを1つに集約し、対象行のデータを動的に差し替える実装へ変更","フロントエンド担当/開発チーム","2026/06/01","実装","QAチーム",""
8,"Views/StaffList/StaffList.cshtml（ページネーション）","機能","totalPages が 0 のケースが考慮されていない","コントローラで totalPages の最低値を 1 にするか ViewModel で管理してビューで安全に扱う","開発チーム","2026/06/01","実装","QAチーム",""
9,"Data/ApplicationDbContext.cs（OnModelCreating）","設計","StaffCd を代替キーにしているが null 許容や関連の必須性が未整理","関連要件に応じて .IsRequired() 等を追加し、外部キー制約を明確化する","DB設計担当/開発チーム","2026/06/01","設計","QAチーム","""2.0","Controllers/StaffListController.cs","記述相違","page パラメータの上限チェックがないため、page が totalPages を超えるケースや totalPages が 0 になるケースでページ表示・操作が不正になる","コントローラ側で totalPages を最低 1 に設定し、page を 1..totalPages の範囲にクランプする処理を追加しました。pageSize=5 に基づく Skip/Take によるページング取得へ修正済み。","GitHub Copilot","2026/06/02","検討不足","佐野",""
"2.1","Controllers/StaffListController.cs","記述漏れ","例外発生時に内部例外情報をそのままユーザーへ返している（情報漏洩の懸念）","catch 節を一般的なエラーメッセージへ置き換えました。運用では詳細はログへ記録する方針を推奨します。","GitHub Copilot","2026/06/02","検討不足","佐野",""
"2.2","shinnzinn2026.Tests/Controllers/StaffListControllerTests.cs","その他","StaffList の認可・セッション・ページングに関する自動テストが存在しなかったため、回帰検知が困難であった","xUnit と InMemory DB を用いたテストを追加しました。セッション未設定で Login へリダイレクト、管理者でない場合 Login リダイレクト、page=2 のページングと ViewBag の検証を含むテストを作成。","GitHub Copilot","2026/06/02","習熟不足","佐野",""
"2.0","Controllers/StaffListController.cs","記述相違","page パラメータの上限チェックがないため、page が totalPages を超えるケースや totalPages が 0 になるケースでページ表示・操作が不正になる","コントローラ側で totalPages を最低 1 に設定し、page を 1..totalPages の範囲にクランプする処理を追加しました。pageSize=5 に基づく Skip/Take によるページング取得へ修正済み。","GitHub Copilot","2026/06/02","検討不足","佐野",""
"2.1","Controllers/StaffListController.cs","記述漏れ","例外発生時に内部例外情報をそのままユーザーへ返している（情報漏洩の懸念）","catch 節を一般的なエラーメッセージへ置き換えました。運用では詳細はログへ記録する方針を推奨します。","GitHub Copilot","2026/06/02","検討不足","佐野",""
"2.2","shinnzinn2026.Tests/Controllers/StaffListControllerTests.cs","その他","StaffList の認可・セッション・ページングに関する自動テストが存在しなかったため、回帰検知が困難であった","xUnit と InMemory DB を用いたテストを追加しました。セッション未設定で Login へリダイレクト、管理者でない場合 Login リダイレクト、page=2 のページングと ViewBag の検証を含むテストを作成。","GitHub Copilot","2026/06/02","習熟不足","佐野",""
